"Date","PMI","NMI"
201207,47.1,-
201208,48.2,-
201209,49.9,-
201210,49.3,-
201211,51.7,-
201212,55,-
201301,55.9,-
201302,54.5,-
201303,52.9,-
201304,53,-
201305,53,-
201306,52.8,-
201307,52.8,-
201308,53.3,-
201309,54.5,-
201310,53.8,-
201311,54.5,-
201312,54,-
201401,53.8,-
201402,56,-
201403,56.2,-
201404,56.5,-
201405,56.4,-
201406,57.2,-
201407,58.5,-
201408,56,54.6
201409,54,55.2
201410,53.3,55.9
201411,52.8,52.8
201412,52.5,53.6
201501,53.4,53.9
201502,53.7,50.8
201503,51.5,52.8
201504,49.8,57.3
201505,48.8,54.8
201506,48.6,50.5
201507,48.3,52.1
201508,47,47.5
201509,46.8,45.3
201510,47.6,50.8
201511,48.2,48.7
201512,48.7,50
201601,49.6,48.8
201602,48.3,42.9
201603,47.1,50.5
201604,50.8,48.8
201605,52.3,47.9
201606,52.4,51.7
201607,53.8,54.4
201608,55.5,52.5
201609,56.5,51
201610,57.5,49.4
201611,59.1,49.8
201612,55.9,51.3
201701,53.1,54.1
201702,63.7,48.5
201703,61,55.1
201704,58.4,56.3
201705,56.3,55.4
201706,54.8,53
201707,60,54.8
201708,58.9,55.2
201709,59,53.6
201710,58.9,53
201711,60.1,53.4
201712,60.2,53.3
201801,59.7,55.9
201802,58.7,50.7
201803,56.1,54.4
201804,56.5,55.6
201805,56.2,53.7
201806,55.8,54.7
201807,55.3,57
201808,54.9,52.6
201809,54.6,50.8
201810,51.2,49.9
201811,46.7,52.3
201812,46.5,51.6
201901,46.1,49
201902,47.4,47.8
201903,49.1,53.3
201904,51.7,55.6
201905,48.2,54
201906,48.1,52
201907,48,54.9
201908,48.2,53.1
201909,50,51
201910,51.1,53.9
201911,54.9,55
201912,56.2,54.1
202001,51.3,55
202002,52.7,40.4
202003,53.1,42.3
202004,47.6,42.5
202005,44.8,45.2
202006,47.2,54
202007,54.1,57.3
202008,56,59.4
202009,57.7,55.6
202010,59.3,53.4
202011,61.2,53.8
202012,61.3,55
202101,65.1,55
202102,63.2,52.1
202103,62.7,55.2
202104,68.7,60.1
202105,66,49.2
202106,64,46
202107,65.2,53.2
202108,62.1,56.7
202109,57.8,57.3
202110,58.3,58.5
202111,59.5,62.3
202112,59.3,58.6
202201,56.2,53.9
202202,58.8,51.6
202203,57.8,55.8
202204,56.3,55.1
202205,53.5,45.1
202206,53.6,49.7
202207,47.8,56.7
202208,47.2,53.8
202209,44.9,52.2
202210,45.4,50
202211,43.9,52.2
202212,43.7,53.3
202301,40.4,50.1
202302,51.4,50.2
202303,47.3,53.2
202304,42.8,55.8
202305,41.3,52
202306,48.3,54.6
202307,46.1,55.7
202308,45.5,54.3
202309,48.2,53.5
202310,47.1,53.2
202311,46.8,56.2
202312,46.8,56
202401,48,53.5
202402,48.1,52.3
